idx,labels
256,17
257,15
258,19
259,1
260,6
261,1
262,1
263,8
264,18
265,6
266,17
267,5
268,1
269,8
270,10
271,7
272,6
273,2
274,14
275,1
276,20
277,8
278,20
279,13
280,6
281,11
282,20
283,5
284,8
285,1
286,20
287,12
288,17
289,1
290,6
291,20
292,13
293,13
294,13
295,6
296,4
297,7
298,20
299,9
300,8
301,1
302,9
303,10
304,13
305,7
306,9
307,11
308,7
309,20
310,11
311,12
312,3
313,13
314,9
315,15
316,9
317,3
318,3
319,14
320,2
321,1
322,19
323,3
324,6
325,5
326,9
327,1
328,3
329,8
330,3
331,7
332,8
333,4
334,6
335,20
336,3
337,1
338,14
339,13
340,10
341,16
342,2
343,2
344,20
345,17
346,1
347,18
348,6
349,6
350,18
351,18
352,13
353,20
354,8
355,9
356,13
357,3
358,13
359,5
360,6
361,10
362,3
363,6
364,1
365,2
366,1
367,20
368,6
369,14
370,18
371,20
372,1
373,9
374,20
375,19
376,10
377,10
378,17
379,10
380,14
381,14
382,10
383,3
384,6
385,8
386,1
387,3
388,1
389,5
390,4
391,20
392,11
393,10
394,8
395,13
396,4
397,5
398,18
399,18
400,3
401,1
402,9
403,10
404,8
405,8
406,8
407,20
408,9
409,20
410,18
411,2
412,8
413,20
414,13
415,8
416,1
417,2
418,5
419,9
420,6
421,8
422,13
423,9
424,20
425,2
426,6
427,2
428,1
429,18
430,14
431,12
432,8
433,6
434,20
435,20
436,18
437,13
438,9
439,3
440,6
441,13
442,5
443,12
444,13
445,1
446,7
447,13
448,6
449,5
450,10
451,20
452,11
453,13
454,18
455,8
456,2
457,2
458,8
459,8
460,6
461,8
462,10
463,13
464,18
465,1
466,1
467,9
468,20
469,16
470,17
471,10
472,10
473,20
474,5
475,2
476,20
477,13
478,13
479,17
480,1
481,11
482,5
483,20
484,10
485,8
486,9
487,8
488,19
489,20
490,15
491,20
492,20
493,3
494,20
495,8
496,10
497,9
498,3
499,6
500,20
501,13
502,18
503,8
504,14
505,4
506,13
507,8
508,18
509,5
510,5
511,6
512,11
513,9
514,13
515,13
516,6
517,14
518,13
519,5
520,11
521,5
522,20
523,6
524,16
525,14
526,3
527,16
528,6
529,4
530,13
531,3
532,12
533,20
534,18
535,13
536,7
537,4
538,9
539,6
540,13
541,17
542,8
543,10
544,5
545,8
546,2
547,11
548,1
549,1
550,8
551,20
552,8
553,8
554,14
555,8
556,12
557,2
558,15
559,8
560,10
561,17
562,10
563,20
564,19
565,10
566,11
567,16
568,3
569,6
570,20
571,9
572,8
573,20
574,17
575,2
576,10
577,1
578,8
579,19
580,18
581,19
582,3
583,5
584,18
585,20
586,9
587,9
588,13
589,18
590,9
591,2
592,16
593,18
594,1
595,8
596,13
597,2
598,15
599,8
600,8
601,3
602,8
603,8
604,5
605,8
606,9
607,12
608,1
609,8
610,18
611,10
612,9
613,1
614,1
615,4
616,11
617,13
618,1
619,9
620,3
621,13
622,5
623,11
624,6
625,8
626,8
627,6
628,13
629,6
630,5
631,11
632,6
633,8
634,5
635,19
636,13
637,5
638,11
639,13
640,13
641,11
642,11
643,20
644,1
645,18
646,13
647,2
648,5
649,6
650,20
651,8
652,20
653,8
654,3
655,13
656,10
657,8
658,1
659,6
660,18
661,6
662,6
663,6
664,8
665,1
666,8
667,9
668,10
669,8
670,8
671,20
672,17
673,13
674,4
675,6
676,11
677,5
678,20
679,12
680,8
681,4
682,5
683,20
684,20
685,7
686,8
687,1
688,8
689,16
690,17
691,14
692,6
693,6
694,8
695,12
696,11
697,2
698,1
699,16
700,8
701,20
702,8
703,12
704,9
705,9
706,11
707,13
708,1
709,3
710,14
711,6
712,3
713,6
714,5
715,16
716,3
717,6
718,5
719,6
720,15
721,13
722,13
723,5
724,9
725,20
726,15
727,2
728,11
729,3
730,6
731,20
732,5
733,6
734,6
735,20
736,12
737,11
738,18
739,5
740,10
741,1
742,5
743,20
744,12
745,8
746,5
747,8
748,14
749,4
750,3
751,1
752,13
753,14
754,10
755,15
756,20
757,5
758,8
759,15
760,10
761,1
762,8
763,15
764,5
765,9
766,13
767,8
768,8
769,15
770,1
771,20
772,11
773,13
774,2
775,9
776,5
777,13
778,20
779,8
780,10
781,1
782,17
783,2
784,9
785,19
786,19
787,1
788,3
789,6
790,3
791,8
792,5
793,17
794,8
795,13
796,18
797,13
798,9
799,20
800,11
801,17
802,11
803,16
804,8
805,13
806,17
807,20
808,3
809,16
810,8
811,10
812,3
813,18
814,20
815,20
816,6
817,8
818,13
819,8
820,7
821,3
822,7
823,2
824,13
825,5
826,8
827,13
828,14
829,3
830,12
831,18
832,6
833,8
834,8
835,3
836,2
837,20
838,14
839,6
840,6
841,14
842,2
843,20
844,20
845,1
846,1
847,16
848,13
849,3
850,15
851,6
852,14
853,20
854,15
855,6
856,8
857,10
858,11
859,1
860,17
861,20
862,4
863,19
864,11
865,12
866,3
867,5
868,9
869,11
870,2
871,6
872,18
873,3
874,4
875,4
876,2
877,20
878,1
879,5
880,19
881,9
882,19
883,13
884,5
885,14
886,20
887,19
888,13
889,20
890,16
891,2
892,6
893,13
894,13
895,5
896,17
897,12
898,13
899,20
900,8
901,10
902,9
903,19
904,10
905,14
906,11
907,20
908,20
909,7
910,11
911,13
912,10
913,11
914,5
915,5
916,1
917,13
918,13
919,1
920,4
921,17
922,4
923,13
924,13
925,8
926,5
927,6
928,16
929,17
930,20
931,8
932,8
933,8
934,18
935,8
936,18
937,19
938,18
939,7
940,4
941,8
942,9
943,1
944,1
945,9
946,18
947,13
948,20
949,6
950,20
951,13
952,19
953,16
954,14
955,16
956,3
957,6
958,6
959,14
960,20
961,13
962,2
963,8
964,3
965,7
966,1
967,2
968,3
969,19
970,19
971,13
972,5
973,3
974,4
975,18
976,19
977,19
978,13
979,20
980,10
981,8
982,3
983,9
984,18
985,20
986,12
987,14
988,13
989,6
990,15
991,9
992,13
993,10
994,17
995,8
996,9
997,5
998,13
999,9
1000,12
1001,8
1002,6
1003,6
1004,8
1005,3
1006,14
1007,6
1008,13
1009,19
1010,14
1011,8
1012,8
1013,15
1014,13
1015,9
1016,4
1017,10
1018,9
1019,11
1020,16
1021,4
1022,1
1023,10
1024,2
1025,11
1026,13
1027,13
1028,14
1029,13
1030,19
1031,2
1032,8
1033,3
1034,18
1035,7
1036,9
1037,20
1038,20
1039,6
1040,19
1041,1
1042,10
1043,3
1044,8
1045,6
1046,12
1047,10
1048,13
1049,19
1050,9
1051,6
1052,9
1053,1
1054,18
1055,20
1056,6
1057,8
1058,16
1059,5
1060,12
1061,1
1062,10
1063,2
1064,1
1065,9
1066,13
1067,1
1068,9
1069,11
1070,4
1071,4
1072,5
1073,12
1074,11
1075,6
1076,8
1077,8
1078,20
1079,6
1080,2
1081,13
1082,8
1083,8
1084,20
1085,20
1086,9
1087,15
1088,8
1089,3
1090,20
1091,11
1092,9
1093,14
1094,5
1095,11
1096,11
1097,13
1098,8
1099,8
1100,14
1101,19
1102,13
1103,8
1104,1
1105,20
1106,10
1107,9
1108,20
1109,13
1110,14
1111,13
1112,20
1113,18
1114,3
1115,13
1116,20
1117,19
1118,20
1119,7
1120,4
1121,3
1122,6
1123,20
1124,8
1125,12
1126,3
1127,4
1128,10
1129,5
1130,6
1131,18
1132,11
1133,16
1134,9
1135,1
1136,11
1137,9
1138,8
1139,13
1140,8
1141,10
1142,11
1143,10
1144,18
1145,9
1146,9
1147,9
1148,1
1149,20
1150,19
1151,11
1152,5
1153,5
1154,2
1155,6
1156,7
1157,6
1158,2
1159,10
1160,6
1161,13
1162,9
1163,15
1164,18
1165,13
1166,20
1167,8
1168,6
1169,8
1170,15
1171,20
1172,11
1173,13
1174,4
1175,20
1176,7
1177,13
1178,19
1179,3
1180,3
1181,18
1182,20
1183,5
1184,8
1185,17
1186,9
1187,8
1188,20
1189,9
1190,4
1191,3
1192,10
1193,8
1194,6
1195,5
1196,11
1197,5
1198,20
1199,6
1200,20
1201,19
1202,20
1203,13
1204,6
1205,13
1206,18
1207,20
1208,6
1209,6
1210,12
1211,9
1212,20
1213,14
1214,9
1215,15
1216,9
1217,8
1218,13
1219,13
1220,9
1221,8
1222,3
1223,12
1224,17
1225,10
1226,13
1227,19
1228,1
1229,13
1230,5
1231,15
1232,6
1233,10
1234,20
1235,9
1236,6
1237,13
1238,5
1239,8
1240,9
1241,3
1242,9
1243,16
1244,8
1245,5
1246,5
1247,7
1248,2
1249,13
1250,1
1251,13
1252,14
1253,19
1254,6
1255,8
1256,14
1257,8
1258,15
1259,13
1260,19
1261,20
1262,15
1263,5
1264,1
1265,2
1266,19
1267,9
1268,18
1269,2
1270,4
1271,14
1272,8
1273,8
1274,19
1275,3
1276,6
1277,6
1278,8
1279,3
1280,6
1281,14
1282,7
1283,3
1284,20
1285,1
1286,6
1287,8
1288,13
1289,19
1290,13
1291,16
1292,10
1293,14
1294,1
1295,8
1296,2
1297,11
1298,8
1299,5
1300,20
1301,2
1302,6
1303,1
1304,5
1305,19
1306,20
1307,6
1308,14
1309,10
1310,2
1311,12
1312,1
1313,8
1314,10
1315,5
1316,8
1317,19
1318,17
1319,10
1320,13
1321,4
1322,10
1323,5
1324,16
1325,5
1326,14
1327,20
1328,2
1329,8
1330,4
1331,6
1332,14
1333,9
1334,8
1335,1
1336,6
1337,2
1338,13
1339,2
1340,10
1341,9
1342,20
1343,8
1344,20
1345,16
1346,3
1347,5
1348,3
1349,18
1350,9
1351,2
1352,14
1353,9
1354,14
1355,8
1356,21
1357,2
1358,9
1359,1
1360,5
1361,2
1362,13
1363,9
1364,13
1365,9
1366,8
1367,8
1368,16
1369,12
1370,2
1371,14
1372,8
1373,18
1374,9
1375,13
1376,6
1377,1
1378,20
1379,9
1380,2
1381,8
1382,1
1383,18
1384,8
1385,20
1386,18
1387,16
1388,6
1389,16
1390,15
1391,5
1392,9
1393,14
1394,8
1395,10
1396,2
1397,9
1398,10
1399,19
1400,19
1401,1
1402,6
1403,11
1404,3
1405,5
1406,5
1407,9
1408,14
1409,11
1410,6
1411,19
1412,10
1413,20
1414,6
1415,14
1416,14
1417,15
1418,6
1419,11
1420,17
1421,13
1422,8
1423,5
1424,8
1425,2
1426,14
1427,17
1428,20
1429,14
1430,16
1431,5
1432,13
1433,13
1434,7
1435,3
1436,18
1437,3
1438,19
1439,13
1440,10
1441,1
1442,7
1443,8
1444,8
1445,2
1446,20
1447,3
1448,9
1449,2
1450,8
1451,17
1452,13
1453,18
1454,18
1455,10
1456,2
1457,8
1458,10
1459,8
1460,12
1461,19
1462,2
1463,11
1464,5
1465,8
1466,5
1467,13
1468,20
1469,10
1470,11
1471,13
1472,6
1473,11
1474,10
1475,19
1476,5
1477,5
1478,20
1479,6
1480,5
1481,20
1482,13
1483,20
1484,11
1485,1
1486,18
1487,8
1488,17
1489,8
1490,11
1491,18
1492,1
1493,5
1494,8
1495,8
1496,14
1497,3
1498,13
1499,8
1500,2
1501,7
1502,16
1503,16
1504,13
1505,3
1506,18
1507,14
1508,9
1509,8
1510,11
1511,8
1512,3
1513,4
1514,17
1515,8
1516,19
1517,5
1518,8
1519,9
1520,13
1521,13
1522,16
1523,6
1524,16
1525,20
1526,8
1527,1
1528,11
1529,8
1530,8
1531,3
1532,1
1533,1
1534,10
1535,13
1536,13
1537,3
1538,6
1539,6
1540,9
1541,18
1542,5
1543,8
1544,9
1545,9
1546,8
1547,17
1548,1
1549,10
1550,5
1551,10
1552,9
1553,19
1554,20
1555,5
1556,10
1557,18
1558,13
1559,15
1560,8
1561,10
1562,5
1563,12
1564,1
1565,1
1566,1
1567,8
1568,14
1569,13
1570,11
1571,7
1572,19
1573,19
1574,18
1575,8
1576,14
1577,9
1578,20
1579,13
1580,13
1581,1
1582,18
1583,13
1584,8
1585,8
1586,3
1587,5
1588,5
1589,16
1590,9
1591,16
1592,9
1593,2
1594,9
1595,5
1596,6
1597,16
1598,13
1599,13
1600,8
1601,13
1602,13
1603,8
1604,17
1605,9
1606,10
1607,5
1608,5
1609,8
1610,16
1611,5
1612,11
1613,20
1614,14
1615,8
1616,14
1617,8
1618,13
1619,13
1620,18
1621,13
1622,10
1623,14
1624,7
1625,8
1626,20
1627,5
1628,1
1629,13
1630,9
1631,6
1632,8
1633,20
1634,14
1635,16
1636,5
1637,8
1638,6
1639,19
1640,11
1641,1
1642,2
1643,10
1644,18
1645,8
1646,10
1647,13
1648,3
1649,10
1650,8
1651,1
1652,19
1653,4
1654,20
1655,16
1656,13
1657,1
1658,20
1659,10
1660,1
1661,13
1662,9
1663,9
1664,7
1665,20
1666,11
1667,5
1668,3
1669,8
1670,1
1671,10
1672,12
1673,2
1674,1
1675,18
1676,13
1677,5
1678,6
1679,3
1680,4
1681,8
1682,13
1683,14
1684,8
1685,8
1686,8
1687,2
1688,8
1689,20
1690,15
1691,20
1692,8
1693,13
1694,15
1695,13
1696,8
1697,13
1698,5
1699,13
1700,15
1701,3
1702,19
1703,5
1704,13
1705,8
1706,20
1707,8
1708,13
1709,8
1710,6
1711,1
1712,8
1713,14
1714,16
1715,13
1716,9
1717,11
1718,15
1719,19
1720,5
1721,9
1722,13
1723,13
1724,13
1725,13
1726,7
1727,20
1728,7
1729,11
1730,2
1731,20
1732,1
1733,5
1734,3
1735,13
1736,11
1737,8
1738,18
1739,1
1740,8
1741,11
1742,8
1743,11
1744,15
1745,17
1746,10
1747,2
1748,20
1749,9
1750,11
1751,20
1752,3
1753,8
1754,19
1755,1
1756,8
1757,12
1758,13
1759,14
1760,13
1761,15
1762,2
1763,6
1764,3
1765,13
1766,8
1767,9
1768,13
1769,5
1770,5
1771,13
1772,20
1773,20
1774,9
1775,6
1776,4
1777,8
1778,10
1779,20
1780,11
1781,10
1782,16
1783,18
1784,6
1785,14
1786,6
1787,14
1788,6
1789,3
1790,2
1791,20
1792,2
1793,17
1794,4
1795,13
1796,5
1797,8
1798,1
1799,13
1800,10
1801,5
1802,13
1803,3
1804,5
1805,17
1806,7
1807,5
1808,10
1809,20
1810,16
1811,16
1812,8
1813,20
1814,19
1815,5
1816,8
1817,13
1818,1
1819,11
1820,8
1821,8
1822,17
1823,5
1824,6
1825,8
1826,18
1827,3
1828,13
1829,8
1830,13
1831,13
1832,9
1833,3
1834,8
1835,13
1836,13
1837,20
1838,19
1839,8
1840,10
1841,8
1842,20
1843,6
1844,3
1845,15
1846,14
1847,5
1848,14
1849,19
1850,3
1851,20
1852,9
1853,5
1854,2
1855,3
1856,19
1857,4
1858,18
1859,5
1860,19
1861,13
1862,11
1863,6
1864,8
1865,5
1866,6
1867,3
1868,19
1869,16
1870,9
1871,14
1872,13
1873,3
1874,1
1875,7
1876,1
1877,9
1878,8
1879,8
1880,9
1881,13
1882,12
1883,13
1884,11
1885,10
1886,9
1887,1
1888,11
1889,5
1890,9
1891,19
1892,6
1893,10
1894,2
1895,6
1896,8
1897,2
1898,13
1899,7
1900,7
1901,6
1902,19
1903,9
1904,21
1905,14
1906,3
1907,9
1908,12
1909,19
1910,8
1911,1
1912,16
1913,11
1914,1
1915,17
1916,16
1917,15
1918,11
1919,11
1920,20
1921,1
1922,1
1923,8
1924,10
1925,5
1926,20
1927,8
1928,1
1929,5
1930,15
1931,20
1932,18
1933,20
1934,20
1935,9
1936,20
1937,1
1938,11
1939,20
1940,17
1941,20
1942,13
1943,6
1944,15
1945,8
1946,14
1947,16
1948,15
1949,13
1950,9
1951,2
1952,14
1953,5
1954,18
1955,8
1956,8
1957,2
1958,15
1959,15
1960,9
1961,15
1962,14
1963,8
1964,17
1965,14
1966,1
1967,1
1968,3
1969,20
1970,19
1971,8
1972,8
1973,17
1974,18
1975,6
1976,13
1977,19
1978,12
1979,14
1980,7
1981,20
1982,8
1983,8
1984,4
1985,8
1986,12
1987,20
1988,14
1989,15
1990,1
1991,2
1992,1
1993,1
1994,5
1995,8
1996,13
1997,13
1998,8
1999,2
2000,15
2001,2
2002,9
2003,18
2004,8
2005,8
2006,20
2007,14
2008,13
2009,18
2010,13
2011,1
2012,1
2013,19
2014,10
2015,17
2016,5
2017,6
2018,5
2019,13
2020,5
2021,8
2022,5
2023,8
2024,19
2025,6
2026,6
2027,13
2028,20
2029,16
2030,3
2031,13
2032,4
2033,14
2034,9
2035,1
2036,3
2037,9
2038,8
2039,13
2040,9
2041,3
2042,7
2043,1
2044,5
2045,8
2046,3
2047,19
2048,20
2049,20
2050,8
2051,6
2052,2
2053,13
2054,6
2055,8
2056,1
2057,1
2058,11
2059,16
2060,13
2061,3
2062,10
2063,20
2064,17
2065,11
2066,7
2067,1
2068,19
2069,13
2070,5
2071,6
2072,13
2073,3
2074,10
2075,5
2076,4
2077,13
2078,19
2079,15
2080,9
2081,11
2082,19
2083,18
2084,9
2085,8
2086,9
2087,1
2088,9
2089,13
2090,9
2091,6
2092,11
2093,18
2094,9
2095,9
2096,13
2097,20
2098,6
2099,19
2100,13
2101,8
2102,8
2103,16
2104,8
2105,10
2106,1
2107,20
2108,13
2109,3
2110,2
2111,4
2112,4
2113,9
2114,6
2115,11
2116,8
2117,19
2118,8
2119,1
2120,8
2121,6
2122,4
2123,1
2124,13
2125,10
2126,20
2127,20
2128,18
2129,15
2130,8
2131,1
2132,1
2133,18
2134,18
2135,10
2136,2
2137,1
2138,8
2139,9
2140,16
2141,3
2142,13
2143,5
2144,6
2145,20
2146,3
2147,5
2148,8
2149,2
2150,20
2151,12
2152,18
2153,13
2154,9
2155,13
2156,6
2157,6
2158,1
2159,8
2160,20
2161,13
2162,1
2163,13
2164,8
2165,7
2166,19
2167,8
2168,3
2169,10
2170,3
2171,13
2172,6
2173,5
2174,20
2175,1
2176,18
2177,14
2178,1
2179,20
2180,1
2181,3
2182,20
2183,8
2184,11
2185,8
2186,13
2187,13
2188,2
2189,13
2190,12
2191,11
2192,5
2193,20
2194,20
2195,13
2196,8
2197,3
2198,1
2199,17
2200,8
2201,9
2202,2
2203,8
2204,14
2205,13
2206,20
2207,9
2208,14
2209,3
2210,13
2211,17
2212,13
2213,2
2214,17
2215,2
2216,18
2217,6
2218,13
2219,15
2220,15
2221,1
2222,20
2223,13
2224,9
2225,1
2226,13
2227,1
2228,2
2229,2
2230,13
2231,9
2232,3
2233,6
2234,13
2235,2
2236,14
2237,1
2238,13
2239,19
2240,9
2241,18
2242,13
2243,8
2244,1
2245,8
2246,11
2247,5
2248,8
2249,10
2250,2
2251,8
2252,12
2253,4
2254,12
2255,2
2256,2
2257,13
2258,13
2259,13
2260,7
2261,7
2262,13
2263,6
2264,4
2265,9
2266,3
2267,2
2268,20
2269,20
2270,13
2271,8
2272,19
2273,6
2274,9
2275,15
2276,19
2277,3
2278,6
2279,1
2280,3
2281,8
2282,8
2283,6
2284,6
2285,15
2286,19
2287,20
2288,6
2289,20
2290,8
2291,20
2292,16
2293,1
2294,6
2295,6
2296,10
2297,14
2298,3
2299,3
2300,18
2301,6
2302,14
2303,13
2304,6
2305,18
2306,10
2307,1
2308,6
2309,1
2310,7
2311,6
2312,2
2313,11
2314,20
2315,20
2316,19
2317,9
2318,1
2319,6
2320,20
2321,14
2322,6
2323,18
2324,10
2325,8
2326,1
2327,9
2328,19
2329,4
2330,14
2331,6
2332,1
2333,3
2334,1
2335,13
2336,20
2337,1
2338,8
2339,19
2340,8
2341,20
2342,18
2343,6
2344,7
2345,12
2346,4
2347,17
2348,8
2349,10
2350,1
2351,13
2352,13
2353,19
2354,19
2355,15
2356,19
2357,6
2358,1
2359,6
2360,13
2361,15
2362,11
2363,11
2364,16
2365,7
2366,1
2367,20
2368,8
2369,5
2370,19
2371,5
2372,13
2373,13
2374,15
2375,4
2376,2
2377,8
2378,13
2379,3
2380,1
2381,8
2382,20
2383,1
2384,8
2385,14
2386,13
2387,6
2388,9
2389,13
2390,14
2391,20
2392,5
2393,18
2394,3
2395,19
2396,19
2397,13
2398,7
2399,8
2400,11
2401,9
2402,6
2403,10
2404,11
2405,20
2406,3
2407,13
2408,5
2409,19
2410,5
2411,18
2412,6
2413,19
2414,8
2415,13
2416,7
2417,7
2418,4
2419,20
2420,12
2421,3
2422,19
2423,19
2424,5
2425,7
2426,9
2427,16
2428,1
2429,6
2430,9
2431,5
2432,6
2433,3
2434,12
2435,20
2436,2
2437,3
2438,9
2439,20
2440,19
2441,3
2442,18
2443,7
2444,10
2445,2
2446,6
2447,8
2448,13
2449,3
2450,13
2451,13
2452,3
2453,20
2454,6
2455,10
2456,7
2457,13
2458,8
2459,20
2460,1
2461,15
2462,5
2463,3
2464,6
2465,20
2466,9
2467,15
2468,3
2469,18
2470,2
2471,15
2472,15
2473,20
2474,20
2475,4
2476,7
2477,9
2478,20
2479,11
2480,5
2481,6
2482,16
2483,5
2484,13
2485,3
2486,10
2487,13
2488,6
2489,3
2490,7
2491,11
2492,5
2493,2
2494,9
2495,16
2496,6
2497,10
2498,12
2499,3
2500,5
2501,9
2502,3
2503,19
2504,19
2505,8
2506,13
2507,8
2508,8
2509,10
2510,3
2511,2
2512,18
2513,20
2514,2
2515,13
2516,1
2517,13
2518,12
2519,3
2520,13
2521,2
2522,6
2523,2
2524,14
2525,19
2526,20
2527,18
2528,14
2529,20
2530,1
2531,4
2532,20
2533,10
2534,8
2535,12
2536,12
2537,11
2538,15
2539,12
2540,6
2541,1
2542,4
2543,18
2544,13
2545,9
2546,11
2547,8
2548,10
2549,13
2550,8
2551,1
2552,16
2553,11
2554,7
2555,9
2556,13
2557,20
2558,13
2559,13
2560,20
2561,1
2562,9
2563,17
2564,5
2565,5
2566,12
2567,5
2568,1
2569,11
2570,13
2571,3
2572,9
2573,6
2574,8
2575,20
2576,5
2577,3
2578,15
2579,7
2580,18
2581,5
2582,14
2583,2
2584,1
2585,13
2586,8
2587,3
2588,20
2589,20
2590,6
2591,6
2592,10
2593,12
2594,9
2595,1
2596,4
2597,9
2598,7
2599,10
2600,8
2601,15
2602,8
2603,15
2604,6
2605,9
2606,3
2607,1
2608,8
2609,10
2610,13
2611,13
2612,13
2613,20
2614,5
2615,5
2616,8
2617,5
2618,8
2619,13
2620,20
2621,3
2622,19
2623,6
2624,11
2625,14
2626,13
2627,6
2628,8
2629,13
2630,14
2631,3
2632,3
2633,13
2634,6
2635,13
2636,20
2637,13
2638,5
2639,20
2640,10
2641,2
2642,2
2643,16
2644,16
2645,10
2646,13
2647,3
2648,7
2649,14
2650,9
2651,1
2652,19
2653,6
2654,10
2655,20
2656,3
2657,4
2658,2
2659,20
2660,13
2661,13
2662,5
2663,6
2664,11
2665,14
2666,8
2667,13
2668,8
2669,15
2670,19
2671,9
2672,13
2673,11
2674,5
2675,17
2676,9
2677,1
2678,14
2679,18
2680,19
2681,11
2682,6
2683,18
2684,4
2685,3
2686,7
2687,18
2688,5
2689,8
2690,6
2691,6
2692,6
2693,14
2694,6
2695,4
2696,10
2697,14
2698,6
2699,7
2700,6
2701,13
2702,20
2703,13
2704,6
2705,12
2706,3
2707,11
2708,10
2709,20
2710,13
2711,15
2712,20
2713,8
2714,8
2715,20
2716,13
2717,20
2718,3
2719,8
2720,14
2721,1
2722,9
2723,3
2724,19
2725,20
2726,18
2727,5
2728,2
2729,11
2730,8
2731,1
2732,13
2733,13
2734,8
2735,17
2736,9
2737,3
2738,13
2739,9
2740,7
2741,13
2742,18
2743,9
2744,8
2745,13
2746,15
2747,20
2748,18
2749,8
2750,20
2751,3
2752,12
2753,11
2754,6
2755,8
2756,14
2757,13
2758,13
2759,13
2760,3
2761,6
2762,13
2763,16
2764,6
2765,8
2766,13
2767,5
2768,2
2769,1
2770,6
2771,3
2772,1
2773,8
2774,13
2775,8
2776,4
2777,1
2778,18
2779,20
2780,1
2781,13
2782,11
2783,13
2784,2
2785,9
2786,7
2787,13
2788,18
2789,5
2790,9
2791,11
2792,8
2793,17
2794,10
2795,8
2796,10
2797,18
2798,10
2799,8
2800,10
2801,8
2802,16
2803,14
2804,5
2805,13
2806,1
2807,15
2808,18
2809,5
2810,8
2811,13
2812,13
2813,13
2814,5
2815,8
2816,20
2817,8
2818,20
2819,1
2820,3
2821,13
2822,18
2823,6
2824,8
2825,11
2826,9
2827,1
2828,6
2829,19
2830,6
2831,8
2832,16
2833,17
2834,8
2835,8
2836,13
2837,1
2838,5
2839,5
2840,20
2841,13
2842,9
2843,3
2844,12
2845,6
2846,6
2847,9
2848,10
2849,18
2850,2
2851,6
2852,8
2853,13
2854,8
2855,5
2856,14
2857,9
2858,9
2859,20
2860,5
2861,20
2862,1
2863,13
2864,9
2865,20
2866,16
2867,9
2868,7
2869,6
2870,8
2871,8
2872,5
2873,1
2874,5
2875,13
2876,20
2877,2
2878,13
2879,14
2880,1
2881,20
2882,8
2883,8
2884,5
2885,15
2886,2
2887,13
2888,8
2889,17
2890,11
2891,9
2892,14
2893,2
2894,1
2895,9
2896,4
2897,18
2898,19
2899,3
2900,6
2901,7
2902,13
2903,8
2904,11
2905,21
2906,8
2907,11
2908,9
2909,13
2910,15
2911,20
2912,9
2913,17
2914,18
2915,13
2916,2
2917,16
2918,12
2919,7
2920,1
2921,3
2922,1
2923,18
2924,5
2925,1
2926,13
2927,11
2928,2
2929,5
2930,2
2931,14
2932,19
2933,18
2934,7
2935,20
2936,12
2937,9
2938,10
2939,9
2940,20
2941,11
2942,2
2943,6
2944,19
2945,9
2946,4
2947,6
2948,10
2949,6
2950,8
2951,1
2952,9
2953,5
2954,9
2955,3
2956,20
2957,14
2958,20
2959,9
2960,8
2961,18
2962,9
2963,10
2964,15
2965,11
2966,8
2967,10
2968,6
2969,6
2970,5
2971,1
2972,8
2973,6
2974,8
2975,18
2976,2
2977,9
2978,14
2979,2
2980,5
2981,7
2982,1
2983,8
2984,15
2985,19
2986,17
2987,13
2988,3
2989,1
2990,19
2991,1
2992,12
2993,13
2994,12
2995,4
2996,8
